CODI_ACCES,ADRECA,EPIGRAF_IAE,EPIGRAF_DESC,LAT,LNG,WKT
"100700900055411207130","C. de Barcelona, 24","6516","COM.MEN.CALZADO Y COMPLEMENTOS PIEL","41.5385415641047","2.44571012903087","POINT (2.44571012903087 41.5385415641047)"
"100700900055418607130","C. de Barcelona, 27","6524","COM.MEN.PLANTAS Y HIERBAS,HERBORARIOS","41.5386917533123","2.4459631513536","POINT (2.4459631513536 41.5386917533123)"
"100700900054912107130","C. d'Agustxn Argxelles, 8","6732","OTROS CAFES Y BARES","41.5427090851113","2.44535741107159","POINT (2.44535741107159 41.5427090851113)"
"100700900054882807130","C. d'Argentona, 80","5013","ALBAILERIA Y PEQ. TRABAJOS CONSTRUCCION","41.5407941459575","2.44103510872776","POINT (2.44103510872776 41.5407941459575)"
"100700900055411207130","C. de Barcelona, 24","6512","COM.MEN.PRENDAS DE VESTIR Y TOCADO","41.5385415641047","2.44571012903087","POINT (2.44571012903087 41.5385415641047)"
"100700900055435807130","C. de Barcelona, 34","6523","COM.MEN.PTOS.PERFUMERIA Y COSMETICA","41.5387734086819","2.44631371821526","POINT (2.44631371821526 41.5387734086819)"
"100700900055420607130","C. de Barcelona, 28","6596","COM.MEN.JUGUETES,ART.DEPORTE,ARMAS...","41.5386591884297","2.44599107764229","POINT (2.44599107764229 41.5386591884297)"
"100700900054891607130","C. d'Argentona, 84","9722","SALONES E INSTITUTOS DE BELLEZA","41.5407773812775","2.44091385475384","POINT (2.44091385475384 41.5407773812775)"
"100700900055412607130","C. de Barcelona, 24B","6593","COM.MEN.APARATOS MEDICOS, ORTOPEDICOS","41.538564364926","2.44576287290105","POINT (2.44576287290105 41.538564364926)"
"100700900054894207130","C. d'Argentona, 85","6441","COM.MEN.PAN,PASTELES,CONFITERIA,LACTEOS","41.5406187948746","2.44036040437383","POINT (2.44036040437383 41.5406187948746)"
"100700900055401007130","C. de Barcelona, 18","6512","COM.MEN.PRENDAS DE VESTIR Y TOCADO","41.5384686674791","2.4455433530727","POINT (2.4455433530727 41.5384686674791)"
"100700900055125507130","C. d'xvila, 32","6473","COM.MEN-PTOS.ALIMENTICIOS 120 - 399 M2","41.5487056496551","2.44036782329123","POINT (2.44036782329123 41.5487056496551)"
"100700900055412607130","C. de Barcelona, 24B","6523","COM.MEN.PTOS.PERFUMERIA Y COSMETICA","41.538564364926","2.44576287290105","POINT (2.44576287290105 41.538564364926)"
"100700900054894207130","C. d'Argentona, 85","6732","OTROS CAFES Y BARES","41.5406187948746","2.44036040437383","POINT (2.44036040437383 41.5406187948746)"
"100700900055403007130","C. de Barcelona, 19","6441","COM.MEN.PAN,PASTELES,CONFITERIA,LACTEOS","41.5386037066632","2.44574284777002","POINT (2.44574284777002 41.5386037066632)"
"100700900055405207130","C. de Barcelona, 21","6516","COM.MEN.CALZADO Y COMPLEMENTOS PIEL","41.5386250945297","2.4457957958559","POINT (2.4457957958559 41.5386250945297)"
"100700900055414007130","C. de Barcelona, 25","6512","COM.MEN.PRENDAS DE VESTIR Y TOCADO","41.5386698695402","2.44590664177391","POINT (2.44590664177391 41.5386698695402)"
