ZONA,CODI_US,DESCRIPCIO_US,LAT,LNG,WKT
"Usos Sòl","INT","Interior","41,5320602465077","2,42506666306912","POINT (2.42506666306912 41.5320602465077)"
"Usos Sòl","INT","Interior","41,5323726349427","2,42831443071658","POINT (2.42831443071658 41.5323726349427)"
"Usos Sòl","ZV","Zona Verda","41,5369074697783","2,42123705903932","POINT (2.42123705903932 41.5369074697783)"
"Usos Sòl","ZV","Zona Verda","41,537772981968","2,42096774369389","POINT (2.42096774369389 41.537772981968)"
"Usos Sòl","VIA","Vials","41,5411766652898","2,45648006841014","POINT (2.45648006841014 41.5411766652898)"
"Usos Sòl","INT","Interior","41,5406464084313","2,44844043457467","POINT (2.44844043457467 41.5406464084313)"
"Usos Sòl","ECAT","Edifici Catalogat","41,5402343487572","2,44688418814245","POINT (2.44688418814245 41.5402343487572)"
"Usos Sòl","TR","Transit Reduït","41,5404777324553","2,44822707056142","POINT (2.44822707056142 41.5404777324553)"
"Usos Sòl","ZV","Zona Verda","41,5405144506007","2,44832688625232","POINT (2.44832688625232 41.5405144506007)"
"Usos Sòl","TR","Transit Reduït","41,5351608175989","2,44638988715933","POINT (2.44638988715933 41.5351608175989)"
"Usos Sòl","ZV","Zona Verda","41,5350227979709","2,44695878024162","POINT (2.44695878024162 41.5350227979709)"
"Usos Sòl","INT","Interior","41,5351906076928","2,44682507321078","POINT (2.44682507321078 41.5351906076928)"
"Usos Sòl","TR","Transit Reduït","41,5355857427973","2,44691369874014","POINT (2.44691369874014 41.5355857427973)"
"Usos Sòl","ECAT","Edifici Catalogat","41,535408521736","2,44742868291656","POINT (2.44742868291656 41.535408521736)"
"Usos Sòl","INT","Interior","41,5630740818092","2,42618053507285","POINT (2.42618053507285 41.5630740818092)"
"Usos Sòl","EQ","Equipament","41,5398313774216","2,42878730290881","POINT (2.42878730290881 41.5398313774216)"
"Usos Sòl","VIA","Vials","41,5640855941521","2,42486268370515","POINT (2.42486268370515 41.5640855941521)"
"Usos Sòl","EQ","Equipament","41,5640182886155","2,42504168173399","POINT (2.42504168173399 41.5640182886155)"
"Usos Sòl","ZV","Zona Verda","41,5653471168719","2,42552976118552","POINT (2.42552976118552 41.5653471168719)"
"Usos Sòl","ZV","Zona Verda","41,5435825736321","2,42913975681766","POINT (2.42913975681766 41.5435825736321)"
"Usos Sòl","INT","Interior","41,5445283093906","2,42466176947663","POINT (2.42466176947663 41.5445283093906)"
"Usos Sòl","INT","Interior","41,5441833916156","2,42506058419772","POINT (2.42506058419772 41.5441833916156)"
"Usos Sòl","INT","Interior","41,5447654372489","2,42524016607411","POINT (2.42524016607411 41.5447654372489)"
"Usos Sòl","INT","Interior","41,5445713264732","2,42609774824096","POINT (2.42609774824096 41.5445713264732)"
"Usos Sòl","ZV","Zona Verda","41,5258928984234","2,42999810262682","POINT (2.42999810262682 41.5258928984234)"
"Usos Sòl","ZV","Zona Verda","41,5258310366371","2,43007191129466","POINT (2.43007191129466 41.5258310366371)"
"Usos Sòl","ZV","Zona Verda","41,5398628338741","2,42875975136676","POINT (2.42875975136676 41.5398628338741)"
"Usos Sòl","INT","Interior","41,5657378203239","2,42569648122963","POINT (2.42569648122963 41.5657378203239)"
